Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,92.57,17.52,13.76,21.28,3.64,63.54,56.78,70.3
February,65.6,17.26,13.51,21.01,2.58,63.07,56.32,69.82
March,88.14,17.42,13.77,21.08,3.47,63.36,56.78,69.94
April,46.55,18.12,14.44,21.81,1.83,64.62,57.99,71.26
May,59.46,18.91,15.19,22.64,2.34,66.04,59.34,72.75
June,33.29,19.84,16.1,23.58,1.31,67.72,60.98,74.45
July,44.8,20.56,16.8,24.31,1.76,69.0,62.24,75.77
August,43.18,20.92,17.13,24.7,1.7,69.65,62.84,76.46
September,57.71,20.61,16.83,24.38,2.27,69.09,62.3,75.88
October,68.19,20.24,16.55,23.94,2.68,68.44,61.79,75.09
November,54.02,19.29,15.8,22.78,2.13,66.71,60.43,73.0
December,70.56,18.21,14.69,21.74,2.78,64.78,58.44,71.12
