Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,135.53,7.84,4.0,11.68,5.34,46.11,39.19,53.02
February,94.69,7.21,3.33,11.1,3.73,44.99,38.0,51.98
March,142.94,7.39,3.5,11.28,5.63,45.3,38.3,52.3
April,48.63,8.37,4.27,12.46,1.91,47.06,39.68,54.43
May,38.19,9.49,5.46,13.52,1.5,49.08,41.82,56.33
June,17.48,10.57,6.47,14.68,0.69,51.03,43.64,58.42
July,36.6,10.69,6.56,14.82,1.44,51.24,43.81,58.68
August,53.28,10.82,6.68,14.96,2.1,51.47,44.02,58.92
September,48.98,10.36,6.39,14.33,1.93,50.65,43.51,57.8
October,57.39,9.98,6.12,13.85,2.26,49.97,43.02,56.93
November,80.89,8.95,5.22,12.68,3.18,48.11,41.4,54.83
December,127.94,8.2,4.52,11.87,5.04,46.75,40.14,53.37
