Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,201.99,15.57,10.47,20.68,7.95,60.03,50.85,69.22
February,203.75,15.33,10.36,20.3,8.02,59.6,50.66,68.54
March,235.82,15.56,10.95,20.17,9.28,60.01,51.72,68.3
April,202.72,16.1,11.53,20.68,7.98,60.99,52.76,69.22
May,141.79,16.9,12.27,21.54,5.58,62.42,54.08,70.77
June,129.35,17.59,13.0,22.18,5.09,63.66,55.4,71.92
July,169.77,18.39,13.73,23.05,6.68,65.1,56.71,73.49
August,197.52,18.67,14.03,23.32,7.78,65.61,57.26,73.97
September,161.93,18.38,13.74,23.02,6.38,65.08,56.73,73.44
October,193.31,18.11,13.42,22.81,7.61,64.6,56.15,73.06
November,288.67,17.22,12.66,21.77,11.36,62.99,54.79,71.18
December,238.03,16.13,11.46,20.79,9.37,61.03,52.63,69.43
