Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,74.7,19.29,14.65,23.94,2.94,66.73,58.36,75.09
February,57.98,19.17,14.58,23.76,2.28,66.51,58.25,74.77
March,102.36,19.49,15.17,23.82,4.03,67.09,59.3,74.88
April,104.34,20.07,15.85,24.28,4.11,68.12,60.54,75.71
May,133.42,20.75,16.54,24.95,5.25,69.34,61.77,76.92
June,137.51,21.39,17.25,25.53,5.41,70.5,63.04,77.95
July,119.75,22.05,17.9,26.21,4.71,71.7,64.21,79.18
August,134.45,22.39,18.22,26.57,5.29,72.31,64.79,79.82
September,148.41,22.24,17.97,26.52,5.84,72.03,64.34,79.73
October,124.72,21.91,17.59,26.23,4.91,71.44,63.66,79.21
November,84.35,21.02,16.82,25.23,3.32,69.84,62.27,77.42
December,66.48,19.96,15.65,24.27,2.62,67.93,60.18,75.69
