Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,67.43,11.65,6.07,17.24,2.65,52.98,42.92,63.03
February,71.21,11.29,5.92,16.65,2.8,52.31,42.65,61.98
March,101.57,11.41,6.51,16.32,4.0,52.55,43.72,61.37
April,89.19,11.92,6.97,16.87,3.51,53.46,44.55,62.37
May,62.15,12.85,7.76,17.93,2.45,55.12,45.97,64.28
June,43.08,13.58,8.53,18.64,1.7,56.45,47.35,65.56
July,59.47,14.52,9.33,19.72,2.34,58.14,48.79,67.5
August,98.47,14.75,9.62,19.89,3.88,58.55,49.31,67.79
September,50.16,14.31,9.28,19.34,1.97,57.75,48.7,66.81
October,75.26,14.11,9.01,19.2,2.96,57.39,48.22,66.56
November,91.89,13.2,8.28,18.12,3.62,55.76,46.91,64.61
December,78.7,12.08,7.04,17.12,3.1,53.74,44.67,62.82
