Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,292.92,15.46,11.34,19.59,11.53,59.83,52.41,67.26
February,304.69,15.37,11.08,19.65,12.0,59.66,51.94,67.38
March,406.46,15.73,11.66,19.81,16.0,60.32,52.98,67.66
April,337.45,16.46,12.37,20.54,13.29,61.62,54.26,68.98
May,213.41,17.32,13.09,21.54,8.4,63.17,55.57,70.78
June,224.62,18.43,14.15,22.71,8.84,65.18,57.47,72.89
July,236.46,19.1,14.92,23.29,9.31,66.38,58.85,73.91
August,224.7,19.42,15.14,23.69,8.85,66.95,59.25,74.64
September,200.34,19.18,14.78,23.58,7.89,66.53,58.6,74.45
October,241.17,18.65,14.46,22.83,9.49,65.56,58.03,73.1
November,359.62,17.54,13.61,21.47,14.16,63.57,56.49,70.65
December,378.13,16.4,12.59,20.2,14.89,61.51,54.66,68.37
