Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,108.43,22.35,18.46,26.25,4.27,72.24,65.23,79.25
February,116.42,22.39,18.6,26.19,4.58,72.31,65.47,79.15
March,138.03,22.78,19.13,26.43,5.43,73.0,66.43,79.57
April,92.72,23.72,20.11,27.33,3.65,74.69,68.19,81.19
May,84.15,24.49,20.84,28.15,3.31,76.09,69.51,82.66
June,74.52,25.6,22.07,29.13,2.93,78.08,71.73,84.43
July,96.59,26.14,22.66,29.63,3.8,79.06,72.78,85.33
August,74.81,26.55,23.01,30.09,2.95,79.79,73.42,86.15
September,99.95,26.37,22.66,30.07,3.93,79.46,72.79,86.13
October,119.38,25.83,22.23,29.44,4.7,78.5,72.01,84.99
November,166.54,24.57,21.17,27.98,6.56,76.23,70.1,82.36
December,148.2,23.34,19.88,26.81,5.83,74.02,67.79,80.25
