Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,109.17,9.68,4.28,15.08,4.3,49.43,39.71,59.14
February,93.02,9.23,4.03,14.44,3.66,48.62,39.25,57.99
March,132.37,9.35,4.55,14.15,5.21,48.83,40.18,57.48
April,97.62,9.96,5.05,14.87,3.84,49.93,41.09,58.76
May,59.85,10.96,5.93,15.99,2.36,51.73,42.68,60.79
June,28.61,11.8,6.77,16.82,1.13,53.23,44.18,62.28
July,79.33,12.59,7.44,17.74,3.12,54.66,45.39,63.94
August,106.67,12.77,7.67,17.86,4.2,54.98,45.8,64.15
September,69.26,12.29,7.34,17.24,2.73,54.12,45.21,63.03
October,83.28,12.07,7.08,17.05,3.28,53.72,44.75,62.7
November,142.6,11.12,6.31,15.92,5.61,52.01,43.36,60.66
December,114.81,10.06,5.17,14.95,4.52,50.11,41.31,58.92
