Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,254.64,14.61,9.39,19.83,10.03,58.29,48.89,67.7
February,235.4,14.34,9.27,19.4,9.27,57.8,48.68,66.93
March,398.99,14.54,9.86,19.22,15.71,58.17,49.75,66.59
April,354.1,15.07,10.41,19.74,13.94,59.13,50.74,67.53
May,265.22,15.9,11.16,20.65,10.44,60.63,52.08,69.17
June,363.85,16.6,11.9,21.31,14.32,61.89,53.42,70.35
July,433.04,17.44,12.64,22.23,17.05,63.39,54.75,72.02
August,366.88,17.71,12.94,22.47,14.44,63.87,55.3,72.45
September,253.81,17.38,12.64,22.11,9.99,63.28,54.75,71.81
October,211.95,17.12,12.33,21.92,8.34,62.82,54.19,71.45
November,327.12,16.23,11.58,20.87,12.88,61.21,52.85,69.56
December,338.33,15.13,10.37,19.89,13.32,59.23,50.67,67.8
