Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,197.22,15.19,11.6,18.77,7.76,59.34,52.88,65.79
February,193.93,14.83,10.59,19.07,7.64,58.7,51.07,66.33
March,246.42,14.58,10.63,18.52,9.7,58.24,51.13,65.34
April,133.25,14.96,10.79,19.12,5.25,58.92,51.42,66.41
May,122.18,16.27,11.35,21.19,4.81,61.28,52.43,70.14
June,65.42,16.74,11.87,21.6,2.58,62.12,53.37,70.88
July,75.66,17.68,12.73,22.63,2.98,63.82,54.91,72.73
August,78.16,18.14,12.95,23.34,3.08,64.66,55.31,74.01
September,79.54,18.67,13.27,24.06,3.13,65.61,55.89,75.32
October,131.06,18.03,12.98,23.08,5.16,64.46,55.36,73.55
November,200.33,16.59,12.7,20.49,7.89,61.87,54.87,68.87
December,213.99,15.44,12.18,18.7,8.42,59.79,53.92,65.65
