Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,45.66,18.86,14.16,23.56,1.8,65.95,57.49,74.41
February,35.86,18.72,14.09,23.36,1.41,65.7,57.37,74.04
March,46.85,19.04,14.68,23.4,1.84,66.27,58.42,74.12
April,37.67,19.61,15.35,23.86,1.48,67.29,59.63,74.95
May,43.57,20.3,16.04,24.56,1.72,68.54,60.88,76.2
June,30.72,20.95,16.75,25.14,1.21,69.7,62.16,77.25
July,37.45,21.63,17.41,25.84,1.47,70.93,63.34,78.52
August,50.76,21.96,17.73,26.19,2.0,71.53,63.92,79.14
September,48.08,21.79,17.48,26.11,1.89,71.23,63.46,79.0
October,51.18,21.47,17.1,25.83,2.01,70.64,62.79,78.5
November,32.89,20.58,16.33,24.83,1.29,69.05,61.4,76.69
December,34.25,19.52,15.17,23.87,1.35,67.13,59.3,74.96
