Month,RF_mm,Tmin_c,Tmax_c,RF_in,Tmean_c,Tmean_f,Tmin_f,Tmax_f
January,32923.0,24.55,31.3,1296.18,27.92,82.26,76.19,88.34
February,24219.0,24.75,31.65,953.5,28.2,82.76,76.55,88.97
March,28920.0,25.15,31.6,1138.58,28.38,83.08,77.27,88.88
April,17534.0,24.95,31.2,690.31,28.08,82.54,76.91,88.16
May,23474.0,25.1,30.4,924.17,27.75,81.95,77.18,86.72
June,15285.0,24.55,29.7,601.77,27.12,80.82,76.19,85.46
July,9563.0,23.95,29.2,376.5,26.58,79.83,75.11,84.56
August,14575.0,24.0,29.25,573.82,26.62,79.92,75.2,84.65
September,18457.0,24.15,30.0,726.65,27.08,80.74,75.47,86.0
October,19758.0,24.55,30.25,777.87,27.4,81.32,76.19,86.45
November,21781.0,24.31,30.75,857.52,27.53,81.55,75.76,87.35
December,22850.0,24.5,31.15,899.61,27.82,82.08,76.1,88.07
