Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,167.77,11.78,8.04,15.52,6.61,53.21,46.47,59.94
February,159.57,11.17,7.42,14.91,6.28,52.1,45.35,58.85
March,286.64,11.18,7.6,14.75,11.29,52.12,45.69,58.55
April,151.39,11.73,7.99,15.47,5.96,53.12,46.39,59.85
May,106.64,12.65,8.95,16.35,4.2,54.77,48.11,61.43
June,81.74,13.52,9.71,17.33,3.22,56.34,49.49,63.19
July,128.0,14.34,10.39,18.29,5.04,57.82,50.71,64.93
August,154.91,14.7,10.75,18.65,6.1,58.46,51.34,65.57
September,135.66,14.02,10.25,17.79,5.34,57.23,50.45,64.02
October,161.31,13.81,10.16,17.47,6.35,56.87,50.29,63.45
November,207.09,13.07,9.56,16.58,8.15,55.52,49.2,61.84
December,192.27,12.13,8.59,15.67,7.57,53.84,47.46,60.21
