Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,194.93,15.21,11.63,18.8,7.67,59.38,52.93,65.84
February,182.76,14.86,10.62,19.1,7.2,58.75,51.12,66.38
March,217.66,14.61,10.66,18.55,8.57,58.3,51.19,65.4
April,123.23,14.99,10.83,19.15,4.85,58.98,51.49,66.47
May,111.83,16.3,11.39,21.21,4.4,61.34,52.49,70.18
June,65.69,16.77,11.91,21.63,2.59,62.18,53.44,70.93
July,73.7,17.71,12.76,22.65,2.9,63.88,54.98,72.78
August,82.71,18.18,12.99,23.37,3.26,64.72,55.38,74.06
September,83.08,18.7,13.31,24.09,3.27,65.66,55.96,75.36
October,130.99,18.06,13.01,23.11,5.16,64.51,55.43,73.59
November,192.67,16.62,12.74,20.51,7.59,61.92,54.92,68.93
December,199.92,15.47,12.21,18.73,7.87,59.84,53.98,65.71
