Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,114.33,21.35,17.5,25.2,4.5,70.43,63.5,77.36
February,114.29,21.34,17.48,25.2,4.5,70.4,63.46,77.35
March,132.1,21.63,17.94,25.32,5.2,70.94,64.29,77.58
April,114.74,22.49,18.8,26.18,4.52,72.48,65.85,79.12
May,90.86,23.34,19.51,27.17,3.58,74.01,67.12,80.91
June,92.1,24.36,20.64,28.07,3.63,75.85,69.16,82.53
July,106.05,24.96,21.27,28.65,4.18,76.92,70.28,83.57
August,86.45,25.37,21.6,29.14,3.4,77.67,70.88,84.45
September,82.26,25.29,21.35,29.23,3.24,77.52,70.43,84.61
October,123.35,24.74,20.93,28.55,4.86,76.53,69.68,83.39
November,161.98,23.45,19.98,26.93,6.38,74.22,67.96,80.47
December,148.68,22.24,18.8,25.67,5.85,72.03,65.85,78.21
