Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,113.84,21.25,17.22,25.27,4.48,70.24,63.0,77.49
February,136.09,21.15,17.09,25.2,5.36,70.06,62.76,77.37
March,178.72,21.57,17.68,25.45,7.04,70.82,63.83,77.81
April,97.75,22.44,18.59,26.29,3.85,72.4,65.47,79.33
May,100.53,23.27,19.37,27.17,3.96,73.89,66.87,80.91
June,79.88,24.4,20.58,28.22,3.14,75.91,69.04,82.79
July,78.93,24.98,21.23,28.72,3.11,76.96,70.22,83.69
August,92.8,25.32,21.49,29.14,3.65,77.57,70.68,84.46
September,85.39,25.23,21.32,29.14,3.36,77.42,70.38,84.45
October,118.79,24.64,20.82,28.46,4.68,76.35,69.47,83.23
November,167.96,23.41,19.78,27.04,6.61,74.14,67.61,80.67
December,159.31,22.24,18.58,25.91,6.27,72.04,65.44,78.63
