Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,126.76,21.5,17.48,25.53,4.99,70.71,63.47,77.95
February,172.33,21.4,17.36,25.45,6.78,70.53,63.24,77.82
March,229.09,21.83,17.96,25.7,9.02,71.29,64.32,78.26
April,137.7,22.71,18.87,26.55,5.42,72.88,65.97,79.79
May,133.64,23.54,19.66,27.43,5.26,74.38,67.38,81.37
June,124.17,24.66,20.86,28.46,4.89,76.39,69.56,83.23
July,131.83,25.24,21.52,28.96,5.19,77.43,70.73,84.13
August,148.48,25.58,21.77,29.39,5.85,78.05,71.19,84.9
September,130.72,25.5,21.62,29.39,5.15,77.9,70.91,84.9
October,146.79,24.91,21.1,28.71,5.78,76.83,69.98,83.68
November,207.74,23.67,20.06,27.29,8.18,74.61,68.11,81.12
December,226.21,22.5,18.84,26.16,8.91,72.51,65.92,79.1
