Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,235.28,19.41,15.65,23.18,9.26,66.94,60.16,73.72
February,204.56,19.29,15.31,23.27,8.05,66.72,59.56,73.89
March,318.27,19.41,15.64,23.18,12.53,66.94,60.15,73.73
April,266.83,20.12,16.28,23.96,10.5,68.22,61.31,75.12
May,224.13,21.12,16.94,25.29,8.82,70.01,62.5,77.52
June,246.84,21.96,17.89,26.04,9.72,71.53,64.19,78.87
July,283.83,22.67,18.58,26.76,11.17,72.8,65.45,80.16
August,278.2,23.1,18.88,27.32,10.95,73.58,65.98,81.17
September,292.14,23.21,18.81,27.61,11.5,73.77,65.86,81.69
October,284.05,22.63,18.43,26.83,11.18,72.74,65.18,80.3
November,322.2,21.3,17.69,24.9,12.68,70.34,63.85,76.82
December,291.23,20.1,16.72,23.48,11.47,68.18,62.1,74.26
