Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,95.72,16.5,11.51,21.49,3.77,61.71,52.72,70.69
February,89.58,16.29,11.42,21.16,3.53,61.32,52.55,70.1
March,122.08,16.54,12.01,21.08,4.81,61.78,53.61,69.95
April,81.73,17.09,12.61,21.58,3.22,62.77,54.7,70.84
May,78.87,17.86,13.33,22.39,3.1,64.15,56.0,72.3
June,144.32,18.54,14.06,23.01,5.68,65.37,57.31,73.43
July,93.12,19.3,14.77,23.84,3.67,66.75,58.58,74.91
August,110.36,19.6,15.08,24.13,4.34,67.28,59.14,75.43
September,74.04,19.34,14.79,23.89,2.91,66.82,58.63,75.01
October,74.67,19.06,14.46,23.66,2.94,66.31,58.02,74.59
November,113.82,18.17,13.7,22.63,4.48,64.7,56.66,72.74
December,109.47,17.09,12.51,21.66,4.31,62.75,54.52,70.99
