Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,240.13,21.23,16.82,25.64,9.45,70.21,62.28,78.15
February,282.56,21.17,16.78,25.56,11.12,70.11,62.2,78.01
March,351.07,21.54,17.36,25.73,13.82,70.78,63.25,78.31
April,278.92,22.13,18.11,26.16,10.98,71.84,64.59,79.09
May,210.58,22.75,18.77,26.73,8.29,72.95,65.78,80.12
June,221.29,23.37,19.46,27.28,8.71,74.06,67.03,81.1
July,271.5,23.96,20.07,27.86,10.69,75.14,68.13,82.14
August,313.14,24.33,20.4,28.26,12.33,75.8,68.72,82.87
September,262.84,24.25,20.17,28.34,10.35,75.66,68.31,83.0
October,298.68,23.89,19.77,28.01,11.76,75.0,67.58,82.42
November,410.66,23.01,18.98,27.04,16.17,73.42,66.17,80.66
December,341.1,21.96,17.84,26.09,13.43,71.53,64.11,78.96
