Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,355.13,18.87,14.17,23.57,13.98,65.97,57.51,74.43
February,358.48,18.74,14.1,23.37,14.11,65.72,57.39,74.06
March,528.84,19.05,14.69,23.41,20.82,66.29,58.44,74.13
April,463.04,19.62,15.36,23.87,18.23,67.31,59.66,74.97
May,347.55,20.31,16.06,24.57,13.68,68.56,60.9,76.22
June,352.21,20.96,16.77,25.15,13.87,69.72,62.18,77.27
July,440.67,21.64,17.42,25.85,17.35,70.95,63.36,78.54
August,477.35,21.97,17.74,26.2,18.79,71.55,63.94,79.16
September,372.2,21.8,17.49,26.12,14.65,71.25,63.48,79.02
October,456.36,21.48,17.12,25.84,17.97,70.66,62.81,78.52
November,597.04,20.59,16.35,24.84,23.51,69.07,61.42,76.71
December,466.82,19.53,15.18,23.88,18.38,67.15,59.32,74.98
