Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,123.61278533935547,13.399547576904297,9.652880668640137,17.14621353149414,4.866645092100609,56.11918563842774,49.37518520355225,62.86318435668945
February,101.0066146850586,12.884490966796875,9.135241508483887,16.633739471435547,3.976638373427504,55.192083740234374,48.443434715270996,61.940731048583984
March,105.4926986694336,12.936968803405762,9.341540336608887,16.532400131225586,4.153255853127307,55.28654384613037,48.814772605895996,61.75832023620605
April,64.9719467163086,13.534808158874512,9.80969524383545,17.25992202758789,2.557950658122386,56.36265468597412,49.657451438903806,63.0678596496582
May,38.45308303833008,14.415613174438477,10.709263801574707,18.121965408325195,1.5139009070208693,57.948103713989255,51.276674842834474,64.61953773498536
June,20.755481719970703,15.302197456359863,11.51470947265625,19.089679718017578,0.8171449496051458,59.543955421447755,52.72647705078125,66.36142349243164
July,29.701580047607422,16.095279693603516,12.19867992401123,19.991884231567383,1.1693535451813946,60.97150344848633,53.95762386322021,67.98539161682129
August,53.1572151184082,16.4512939453125,12.546387672424316,20.356204986572266,2.0928037448192205,61.6123291015625,54.58349781036377,68.64116897583008
September,50.79548263549805,15.87503433227539,12.104135513305664,19.645931243896484,1.9998221510038603,60.5750617980957,53.78744392395019,67.36267623901367
October,80.8465347290039,15.62762451171875,11.960526466369629,19.294721603393555,3.1829344381497604,60.12972412109375,53.52894763946533,66.73049888610839
November,74.37183380126953,14.819592475891113,11.315306663513184,18.32387924194336,2.9280249528058873,58.67526645660401,52.36755199432373,64.98298263549805
December,118.61862182617188,13.84548568725586,10.30784797668457,17.38312339782715,4.67002448134535,56.92187423706055,50.55412635803223,63.289622116088864
