Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,97.25,16.85,13.1,20.61,3.83,62.34,55.58,69.1
February,79.39,16.55,12.8,20.3,3.13,61.79,55.04,68.54
March,97.01,16.69,13.05,20.34,3.82,62.05,55.49,68.61
April,43.83,17.38,13.69,21.07,1.73,63.28,56.64,69.93
May,31.44,18.18,14.46,21.91,1.24,64.73,58.03,71.43
June,13.52,19.11,15.36,22.85,0.53,66.39,59.64,73.14
July,30.13,19.83,16.05,23.61,1.19,67.7,60.9,74.5
August,39.13,20.19,16.39,23.99,1.54,68.34,61.5,75.19
September,42.09,19.84,16.07,23.61,1.66,67.71,60.92,74.5
October,70.18,19.5,15.81,23.19,2.76,67.09,60.45,73.73
November,61.84,18.56,15.07,22.05,2.43,65.41,59.12,71.7
December,100.86,17.5,13.98,21.03,3.97,63.51,57.16,69.85
