Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,592.7296752929688,13.217316627502441,9.471152305603027,16.963481903076172,23.335813987912157,55.79116992950439,49.04807415008545,62.53426742553711
February,626.131591796875,12.691076278686523,8.941929817199707,16.440223693847656,24.65085007074311,54.84393730163574,48.09547367095947,61.592402648925784
March,971.6583251953125,12.738775253295898,9.145962715148926,16.331584930419922,38.254264771468996,54.92979545593262,48.46273288726807,61.39685287475586
April,740.0631103515625,13.331971168518066,9.60513687133789,17.058801651000977,29.13634292722687,55.99754810333252,49.2892463684082,62.70584297180176
May,523.881103515625,14.216797828674316,10.511239051818848,17.9223575592041,20.625240295890748,57.59023609161377,50.920230293273924,64.26024360656739
June,564.0636596679688,15.101536750793457,11.312005996704102,18.89106559753418,22.20723069558932,59.182766151428225,52.36161079406738,66.00391807556153
July,662.6435546875,15.898086547851562,11.995317459106445,19.80085563659668,26.088328924704726,60.616555786132814,53.5915714263916,67.64154014587402
August,670.3287353515625,16.253976821899414,12.343714714050293,20.16423988342285,26.390895092581204,61.257158279418945,54.218686485290526,68.29563179016114
September,627.904296875,15.665950775146484,11.895158767700195,19.43674087524414,24.72064160925197,60.19871139526367,53.41128578186035,66.98613357543945
October,763.3311767578125,15.423564910888672,11.757665634155273,19.089458465576172,30.052408533772148,59.76241683959961,53.16379814147949,66.36102523803712
November,904.359130859375,14.622183799743652,11.117265701293945,18.127103805541992,35.60469019131398,58.31993083953857,52.0110782623291,64.62878684997558
December,895.6018676757812,13.652471542358398,10.114179611206055,17.190765380859375,35.25991605022761,56.57444877624512,50.205523300170896,62.94337768554688
