Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,52.19,21.93,18.16,25.7,2.05,71.48,64.7,78.27
February,32.52,21.94,18.19,25.7,1.28,71.5,64.74,78.25
March,42.5,22.22,18.5,25.94,1.67,72.0,65.3,78.69
April,12.38,23.03,19.39,26.68,0.49,73.46,66.9,80.02
May,14.51,23.73,19.98,27.47,0.57,74.71,67.97,81.45
June,1.77,24.7,21.01,28.39,0.07,76.46,69.82,83.11
July,8.36,25.33,21.72,28.94,0.33,77.6,71.1,84.09
August,7.4,25.69,22.04,29.35,0.29,78.25,71.67,84.82
September,6.84,25.67,21.89,29.44,0.27,78.2,71.4,85.0
October,13.83,25.18,21.46,28.91,0.54,77.33,70.63,84.03
November,22.89,24.07,20.59,27.54,0.9,75.32,69.06,81.57
December,42.7,22.89,19.38,26.39,1.68,73.19,66.88,79.51
