Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,218.1,22.04,18.02,26.05,8.59,71.66,64.44,78.89
February,244.59,21.93,17.91,25.96,9.63,71.48,64.23,78.73
March,310.73,22.36,18.51,26.22,12.23,72.26,65.32,79.2
April,245.03,23.26,19.44,27.08,9.65,73.87,67.0,80.74
May,169.37,24.09,20.23,27.94,6.67,75.36,68.42,82.3
June,170.26,25.21,21.45,28.97,6.7,77.38,70.62,84.14
July,189.37,25.78,22.1,29.46,7.46,78.4,71.78,85.02
August,195.97,26.12,22.36,29.89,7.72,79.02,72.24,85.8
September,165.84,26.06,22.22,29.9,6.53,78.9,71.99,85.81
October,190.55,25.46,21.69,29.23,7.5,77.82,71.03,84.61
November,272.5,24.21,20.63,27.8,10.73,75.58,69.13,82.04
December,271.06,23.04,19.39,26.69,10.67,73.47,66.91,80.04
