Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,98.01,18.42,14.65,22.18,3.86,65.15,58.38,71.92
February,79.69,18.21,14.46,21.96,3.14,64.77,58.02,71.53
March,96.55,18.39,14.72,22.06,3.8,65.11,58.5,71.71
April,43.16,19.12,15.44,22.8,1.7,66.41,59.79,73.03
May,29.89,19.89,16.16,23.62,1.18,67.8,61.09,74.51
June,12.47,20.83,17.09,24.56,0.49,69.49,62.77,76.2
July,23.89,21.52,17.8,25.25,0.94,70.74,64.03,77.45
August,34.98,21.88,18.12,25.64,1.38,71.39,64.62,78.15
September,39.55,21.63,17.86,25.4,1.56,70.93,64.14,77.73
October,70.56,21.24,17.54,24.94,2.78,70.24,63.58,76.9
November,62.6,20.25,16.77,23.74,2.46,68.46,62.18,74.73
December,102.39,19.16,15.64,22.68,4.03,66.48,60.15,72.82
