Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,393.68,10.81,7.07,14.55,15.5,51.46,44.73,58.19
February,422.15,10.14,6.39,13.89,16.62,50.25,43.5,57.0
March,536.76,10.12,6.57,13.68,21.13,50.22,43.82,56.63
April,366.7,10.66,6.91,14.41,14.44,51.18,44.43,57.93
May,258.0,11.59,7.9,15.29,10.16,52.87,46.22,59.52
June,212.95,12.45,8.64,16.27,8.38,54.42,47.55,61.29
July,274.75,13.3,9.31,17.28,10.82,55.93,48.76,63.1
August,297.37,13.65,9.67,17.63,11.71,56.57,49.41,63.74
September,293.82,12.91,9.14,16.68,11.57,55.23,48.45,62.02
October,366.4,12.73,9.08,16.38,14.43,54.92,48.35,61.49
November,479.7,12.02,8.5,15.53,18.89,53.63,47.31,59.96
December,483.19,11.11,7.56,14.65,19.02,51.99,45.61,58.38
