Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,168.48,18.6,13.87,23.33,6.63,65.48,56.97,74.0
February,158.0,18.46,13.8,23.12,6.22,65.22,56.84,73.61
March,204.91,18.76,14.38,23.14,8.07,65.77,57.89,73.66
April,110.14,19.33,15.05,23.61,4.34,66.8,59.09,74.5
May,134.97,20.03,15.75,24.32,5.31,68.06,60.34,75.77
June,121.26,20.68,16.46,24.91,4.77,69.23,61.62,76.83
July,138.55,21.37,17.12,25.62,5.45,70.47,62.82,78.12
August,217.43,21.7,17.44,25.96,8.56,71.06,63.39,78.73
September,150.84,21.52,17.18,25.87,5.94,70.74,62.93,78.56
October,194.37,21.2,16.81,25.59,7.65,70.17,62.27,78.07
November,186.87,20.32,16.05,24.59,7.36,68.57,60.88,76.26
December,160.12,19.25,14.88,23.63,6.3,66.65,58.78,74.53
