Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,165.01,18.93,15.17,22.69,6.5,66.07,59.3,72.84
February,170.23,18.75,15.0,22.5,6.7,65.75,59.0,72.51
March,281.17,18.95,15.27,22.62,11.07,66.11,59.49,72.72
April,166.54,19.69,16.01,23.36,6.56,67.44,60.83,74.05
May,99.23,20.45,16.72,24.18,3.91,68.8,62.09,75.52
June,51.93,21.39,17.66,25.11,2.04,70.5,63.79,77.21
July,331.37,22.08,18.37,25.79,13.05,71.74,65.06,78.42
August,88.76,22.44,18.69,26.18,3.49,72.39,65.65,79.12
September,78.38,22.22,18.44,25.99,3.09,71.99,65.2,78.78
October,99.24,21.82,18.11,25.52,3.91,71.27,64.61,77.94
November,152.45,20.81,17.32,24.29,6.0,69.45,63.18,75.73
December,189.02,19.7,16.18,23.22,7.44,67.46,61.13,73.79
