Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,109.53,9.04,5.25,12.84,4.31,48.28,41.45,55.11
February,89.17,8.39,4.57,12.21,3.51,47.1,40.22,53.98
March,130.02,8.48,4.74,12.21,5.12,47.26,40.53,53.98
April,56.06,9.25,5.31,13.19,2.21,48.65,41.55,55.74
May,32.63,10.29,6.41,14.17,1.28,50.52,43.54,57.51
June,18.67,11.27,7.3,15.25,0.73,52.29,45.13,59.45
July,38.29,11.72,7.65,15.79,1.51,53.1,45.77,60.42
August,60.95,11.95,7.88,16.02,2.4,53.51,46.18,60.84
September,45.24,11.36,7.48,15.24,1.78,52.44,45.46,59.42
October,62.64,11.07,7.31,14.84,2.47,51.93,45.15,58.71
November,85.89,10.19,6.56,13.82,3.38,50.34,43.8,56.88
December,114.69,9.37,5.75,12.98,4.52,48.86,42.35,55.37
