Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,257.69,21.63,17.27,25.99,10.15,70.94,63.09,78.78
February,282.34,21.59,17.24,25.93,11.12,70.85,63.02,78.68
March,372.59,21.97,17.81,26.12,14.67,71.54,64.07,79.02
April,306.1,22.56,18.57,26.55,12.05,72.61,65.43,79.79
May,223.04,23.17,19.23,27.1,8.78,73.7,66.61,80.79
June,217.75,23.78,19.92,27.64,8.57,74.8,67.85,81.75
July,280.74,24.36,20.52,28.2,11.05,75.85,68.94,82.76
August,340.37,24.73,20.85,28.61,13.4,76.52,69.53,83.5
September,265.56,24.67,20.63,28.71,10.46,76.41,69.13,83.68
October,304.98,24.3,20.22,28.38,12.01,75.74,68.39,83.09
November,428.46,23.42,19.43,27.41,16.87,74.16,66.98,81.34
December,359.23,22.38,18.29,26.46,14.14,72.28,64.93,79.63
