Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,211.41,20.21,16.44,23.97,8.32,68.37,61.59,75.15
February,155.78,20.11,16.36,23.86,6.13,68.2,61.44,74.95
March,225.61,20.34,16.65,24.03,8.88,68.61,61.97,75.26
April,129.14,21.11,17.45,24.77,5.08,70.0,63.41,76.59
May,112.78,21.84,18.11,25.58,4.44,71.32,64.59,78.04
June,90.89,22.8,19.09,26.51,3.58,73.04,66.36,79.72
July,158.12,23.46,19.8,27.13,6.23,74.23,67.63,80.83
August,138.02,23.82,20.12,27.53,5.43,74.88,68.21,81.55
September,146.34,23.69,19.91,27.46,5.76,74.63,67.84,81.43
October,200.29,23.25,19.54,26.96,7.89,73.85,67.17,80.53
November,170.29,22.19,18.71,25.67,6.7,71.95,65.68,78.21
December,194.61,21.06,17.54,24.57,7.66,69.9,63.58,76.22
