Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,233.03,9.59,5.82,13.37,9.17,49.27,42.47,56.06
February,243.37,8.92,5.13,12.72,9.58,48.06,41.23,54.89
March,267.1,8.97,5.3,12.64,10.52,48.14,41.54,54.75
April,172.57,9.65,5.78,13.52,6.79,49.37,42.4,56.34
May,124.72,10.65,6.84,14.46,4.91,51.18,44.32,58.04
June,88.65,11.59,7.67,15.51,3.49,52.86,45.81,59.92
July,132.36,12.19,8.15,16.23,5.21,53.94,46.66,61.21
August,140.91,12.46,8.42,16.5,5.55,54.43,47.16,61.71
September,167.48,11.81,7.97,15.64,6.59,53.25,46.34,60.16
October,183.8,11.57,7.84,15.29,7.24,52.82,46.12,59.52
November,266.74,10.75,7.16,14.34,10.5,51.35,44.89,57.81
December,316.07,9.9,6.3,13.49,12.44,49.81,43.35,56.28
