Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,171.36,15.74,11.99,19.49,6.75,60.33,53.58,67.09
February,173.48,15.37,11.62,19.12,6.83,59.67,52.92,66.42
March,238.58,15.48,11.86,19.11,9.39,59.87,53.34,66.4
April,164.54,16.14,12.44,19.84,6.48,61.06,54.39,67.72
May,91.8,16.97,13.25,20.69,3.61,62.55,55.86,69.24
June,116.79,17.88,14.12,21.64,4.6,64.19,57.42,70.96
July,159.69,18.63,14.81,22.45,6.29,65.53,58.66,72.4
August,204.25,18.99,15.15,22.82,8.04,66.18,59.27,73.08
September,164.29,18.56,14.79,22.33,6.47,65.41,58.62,72.2
October,153.37,18.25,14.57,21.93,6.04,64.85,58.22,71.48
November,162.67,17.36,13.86,20.85,6.4,63.24,56.95,69.54
December,186.81,16.33,12.8,19.86,7.35,61.39,55.03,67.74
