Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,69.2,17.13,13.37,20.88,2.72,62.83,56.07,69.59
February,59.83,16.84,13.09,20.59,2.36,62.31,55.56,69.07
March,76.82,16.99,13.34,20.64,3.02,62.58,56.02,69.15
April,30.09,17.68,13.99,21.37,1.18,63.83,57.19,70.47
May,34.62,18.48,14.76,22.21,1.36,65.27,58.57,71.97
June,18.59,19.41,15.66,23.15,0.73,66.93,60.19,73.67
July,20.75,20.13,16.36,23.9,0.82,68.23,61.45,75.02
August,31.4,20.49,16.69,24.28,1.24,68.88,62.05,75.71
September,29.44,20.15,16.38,23.93,1.16,68.27,61.48,75.07
October,40.77,19.8,16.11,23.49,1.61,67.64,61.0,74.29
November,44.5,18.86,15.37,22.35,1.75,65.94,59.66,72.23
December,58.88,17.79,14.27,21.32,2.32,64.03,57.69,70.37
