Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,214.35,17.7,13.61,21.78,8.44,63.86,56.5,71.21
February,272.97,17.6,13.4,21.8,10.75,63.68,56.12,71.24
March,394.6,17.99,13.99,21.99,15.54,64.38,57.17,71.58
April,313.11,18.77,14.77,22.77,12.33,65.79,58.59,72.98
May,259.73,19.62,15.52,23.72,10.23,67.32,59.94,74.7
June,304.64,20.74,16.63,24.84,11.99,69.33,61.94,76.71
July,294.82,21.37,17.36,25.38,11.61,70.47,63.25,77.69
August,336.58,21.7,17.59,25.8,13.25,71.05,63.67,78.44
September,285.28,21.52,17.31,25.73,11.23,70.74,63.16,78.32
October,285.14,20.96,16.92,25.01,11.23,69.73,62.45,77.01
November,393.43,19.81,15.99,23.62,15.49,67.66,60.79,74.52
December,372.32,18.66,14.9,22.41,14.66,65.58,58.82,72.34
