Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,116.42,10.82,7.08,14.56,4.58,51.47,44.74,58.2
February,102.13,10.14,6.4,13.89,4.02,50.26,43.51,57.0
March,148.95,10.13,6.57,13.69,5.86,50.23,43.83,56.64
April,71.28,10.66,6.91,14.41,2.81,51.19,44.44,57.94
May,47.95,11.6,7.9,15.29,1.89,52.88,46.22,59.53
June,30.57,12.46,8.64,16.27,1.2,54.43,47.56,61.29
July,48.12,13.3,9.32,17.28,1.89,55.94,48.77,63.11
August,65.06,13.65,9.67,17.64,2.56,56.58,49.41,63.74
September,57.94,12.91,9.14,16.68,2.28,55.24,48.46,62.03
October,74.3,12.74,9.09,16.39,2.93,54.92,48.35,61.49
November,91.0,12.02,8.51,15.54,3.58,53.64,47.32,59.96
December,119.85,11.11,7.56,14.66,4.72,52.0,45.61,58.38
