Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,279.91,16.42,11.42,21.42,11.02,61.55,52.55,70.55
February,286.62,16.2,11.32,21.09,11.28,61.17,52.38,69.95
March,373.08,16.45,11.91,21.0,14.69,61.62,53.44,69.8
April,323.55,17.0,12.51,21.49,12.74,62.61,54.52,70.69
May,230.07,17.77,13.24,22.31,9.06,63.99,55.82,72.16
June,223.48,18.45,13.96,22.94,8.8,65.21,57.14,73.29
July,275.74,19.22,14.67,23.77,10.86,66.6,58.41,74.78
August,299.32,19.52,14.98,24.05,11.78,67.13,58.97,75.3
September,260.39,19.26,14.7,23.81,10.25,66.66,58.45,74.87
October,300.03,18.97,14.36,23.58,11.81,66.15,57.85,74.45
November,423.3,18.08,13.61,22.55,16.67,64.54,56.49,72.6
December,354.89,17.0,12.41,21.58,13.97,62.6,54.34,70.85
