Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,145.34,21.74,17.87,25.61,5.72,71.13,64.17,78.1
February,127.6,21.75,17.91,25.58,5.02,71.14,64.24,78.05
March,188.64,22.08,18.4,25.75,7.43,71.74,65.12,78.35
April,139.71,22.97,19.31,26.62,5.5,73.34,66.76,79.92
May,99.28,23.79,20.03,27.55,3.91,74.82,68.05,81.59
June,120.22,24.84,21.2,28.48,4.73,76.71,70.16,83.27
July,137.81,25.42,21.81,29.03,5.43,77.75,71.25,84.26
August,124.39,25.83,22.15,29.51,4.9,78.49,71.87,85.11
September,126.13,25.71,21.86,29.56,4.97,78.27,71.35,85.2
October,149.62,25.17,21.44,28.9,5.89,77.3,70.58,84.01
November,174.46,23.89,20.44,27.34,6.87,75.0,68.79,81.21
December,182.36,22.67,19.22,26.11,7.18,72.8,66.6,79.0
