Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,136.95,21.58,17.81,25.34,5.39,70.84,64.05,77.62
February,119.27,21.56,17.81,25.32,4.7,70.81,64.06,77.57
March,167.56,21.83,18.12,25.54,6.6,71.29,64.61,77.98
April,114.6,22.64,18.99,26.28,4.51,72.74,66.18,79.31
May,91.16,23.34,19.59,27.08,3.59,74.0,67.27,80.74
June,71.77,24.31,20.61,28.0,2.83,75.75,69.1,82.4
July,143.06,24.94,21.32,28.56,5.63,76.9,70.38,83.41
August,99.05,25.3,21.64,28.97,3.9,77.55,70.95,84.14
September,98.59,25.26,21.48,29.03,3.88,77.46,70.66,84.26
October,107.7,24.78,21.06,28.5,4.24,76.61,69.91,83.31
November,128.65,23.68,20.2,27.15,5.06,74.62,68.36,80.87
December,134.09,22.51,19.0,26.01,5.28,72.51,66.2,78.82
