Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,155.93,21.7,17.93,25.47,6.14,71.06,64.28,77.85
February,146.79,21.7,17.94,25.45,5.78,71.05,64.3,77.81
March,187.08,21.97,18.25,25.68,7.37,71.54,64.85,78.23
April,125.14,22.78,19.13,26.42,4.93,73.0,66.43,79.56
May,126.76,23.47,19.73,27.22,4.99,74.25,67.52,80.99
June,99.85,24.44,20.75,28.14,3.93,76.0,69.35,82.65
July,146.45,25.08,21.46,28.69,5.77,77.14,70.63,83.65
August,136.2,25.44,21.78,29.1,5.36,77.79,71.2,84.38
September,150.55,25.4,21.62,29.18,5.93,77.72,70.92,84.52
October,162.59,24.92,21.2,28.65,6.4,76.86,70.16,83.56
November,179.5,23.81,20.34,27.29,7.07,74.86,68.61,81.12
December,156.7,22.64,19.13,26.15,6.17,72.75,66.44,79.06
