Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,264.1,21.28,17.51,25.05,10.4,70.31,63.53,77.09
February,227.27,21.25,17.5,25.01,8.95,70.25,63.5,77.01
March,334.41,21.51,17.8,25.22,13.17,70.72,64.04,77.4
April,241.57,22.31,18.66,25.96,9.51,72.16,65.59,78.73
May,216.84,23.02,19.28,26.76,8.54,73.43,66.7,80.16
June,167.51,23.98,20.28,27.68,6.59,75.17,68.51,81.83
July,252.87,24.63,21.0,28.26,9.96,76.33,69.79,82.86
August,227.17,24.99,21.31,28.66,8.94,76.98,70.37,83.59
September,221.98,24.92,21.14,28.7,8.74,76.86,70.06,83.65
October,243.4,24.46,20.74,28.17,9.58,76.02,69.33,82.71
November,282.91,23.36,19.88,26.84,11.14,74.05,67.79,80.31
December,279.78,22.2,18.69,25.7,11.01,71.95,65.64,78.27
