Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,48.15,15.61,10.51,20.71,1.9,60.1,50.92,69.28
February,43.87,15.37,10.41,20.34,1.73,59.67,50.73,68.61
March,77.82,15.6,11.0,20.21,3.06,60.08,51.79,68.37
April,58.38,16.14,11.58,20.71,2.3,61.06,52.84,69.28
May,72.1,16.94,12.31,21.57,2.84,62.49,54.16,70.83
June,67.27,17.63,13.04,22.21,2.65,63.73,55.48,71.98
July,78.69,18.43,13.77,23.08,3.1,65.17,56.78,73.55
August,77.23,18.71,14.07,23.35,3.04,65.68,57.33,74.03
September,79.36,18.42,13.78,23.06,3.12,65.15,56.8,73.5
October,70.66,18.15,13.46,22.84,2.78,64.67,56.22,73.12
November,48.57,17.25,12.71,21.8,1.91,63.06,54.87,71.25
December,48.68,16.17,11.5,20.83,1.92,61.1,52.71,69.49
