Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,123.61,13.4,9.65,17.15,4.87,56.12,49.38,62.86
February,101.01,12.88,9.14,16.63,3.98,55.19,48.44,61.94
March,105.49,12.94,9.34,16.53,4.15,55.29,48.81,61.76
April,64.97,13.53,9.81,17.26,2.56,56.36,49.66,63.07
May,38.45,14.42,10.71,18.12,1.51,57.95,51.28,64.62
June,20.76,15.3,11.51,19.09,0.82,59.54,52.73,66.36
July,29.7,16.1,12.2,19.99,1.17,60.97,53.96,67.99
August,53.16,16.45,12.55,20.36,2.09,61.61,54.58,68.64
September,50.8,15.88,12.1,19.65,2.0,60.58,53.79,67.36
October,80.85,15.63,11.96,19.29,3.18,60.13,53.53,66.73
November,74.37,14.82,11.32,18.32,2.93,58.68,52.37,64.98
December,118.62,13.85,10.31,17.38,4.67,56.92,50.55,63.29
