Month,RF_mm,Tmin_c,Tmax_c,RF_in,Tmean_c,Tmean_f,Tmin_f,Tmax_f
January,40443.0,24.48,31.16,1592.24,27.82,82.08,76.06,88.09
February,39001.0,24.68,31.5,1535.47,28.09,82.56,76.42,88.7
March,36337.0,25.05,31.46,1430.59,28.26,82.86,77.09,88.63
April,37115.0,24.85,31.06,1461.22,27.96,82.32,76.73,87.91
May,37083.0,24.99,30.27,1459.96,27.63,81.73,76.98,86.49
June,28637.0,24.48,29.59,1127.44,27.04,80.66,76.06,85.26
July,27389.0,23.9,29.09,1078.31,26.49,79.69,75.02,84.36
August,29667.0,23.94,29.13,1167.99,26.54,79.76,75.09,84.43
September,29484.0,24.09,29.88,1160.79,26.98,80.57,75.36,85.78
October,39672.0,24.48,30.13,1561.89,27.3,81.15,76.06,86.23
November,42479.0,24.26,30.62,1672.4,27.44,81.39,75.67,87.12
December,44786.0,24.45,31.02,1763.23,27.74,81.92,76.01,87.84
