Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,592.73,13.22,9.47,16.96,23.34,55.79,49.05,62.53
February,626.13,12.69,8.94,16.44,24.65,54.84,48.1,61.59
March,971.66,12.74,9.15,16.33,38.25,54.93,48.46,61.4
April,740.06,13.33,9.61,17.06,29.14,56.0,49.29,62.71
May,523.88,14.22,10.51,17.92,20.63,57.59,50.92,64.26
June,564.06,15.1,11.31,18.89,22.21,59.18,52.36,66.0
July,662.64,15.9,12.0,19.8,26.09,60.62,53.59,67.64
August,670.33,16.25,12.34,20.16,26.39,61.26,54.22,68.3
September,627.9,15.67,11.9,19.44,24.72,60.2,53.41,66.99
October,763.33,15.42,11.76,19.09,30.05,59.76,53.16,66.36
November,904.36,14.62,11.12,18.13,35.6,58.32,52.01,64.63
December,895.6,13.65,10.11,17.19,35.26,56.57,50.21,62.94
