Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,261.67,21.51,17.66,25.37,10.3,70.73,63.78,77.67
February,228.2,21.51,17.66,25.36,8.98,70.71,63.78,77.64
March,362.15,21.82,18.13,25.5,14.26,71.27,64.64,77.9
April,305.21,22.69,19.01,26.36,12.02,72.84,66.23,79.45
May,235.74,23.53,19.73,27.33,9.28,74.35,67.51,81.19
June,288.46,24.56,20.88,28.24,11.36,76.21,69.58,82.84
July,336.85,25.15,21.49,28.81,13.26,77.27,70.69,83.86
August,315.86,25.56,21.83,29.29,12.44,78.01,71.29,84.73
September,315.32,25.46,21.56,29.37,12.41,77.84,70.81,84.86
October,303.51,24.92,21.14,28.69,11.95,76.85,70.06,83.65
November,352.14,23.64,20.17,27.1,13.86,74.55,68.31,80.78
December,312.32,22.42,18.98,25.86,12.3,72.35,66.16,78.54
