Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,39.68,11.99,6.45,17.54,1.56,53.59,43.61,63.57
February,34.72,11.64,6.3,16.97,1.37,52.94,43.34,62.55
March,54.06,11.77,6.9,16.65,2.13,53.19,44.42,61.97
April,30.98,12.29,7.37,17.2,1.22,54.11,45.26,62.97
May,41.14,13.2,8.15,18.25,1.62,55.76,46.67,64.84
June,25.47,13.93,8.91,18.95,1.0,57.08,48.04,66.11
July,37.24,14.86,9.71,20.01,1.47,58.74,49.47,68.02
August,43.59,15.09,10.0,20.18,1.72,59.16,50.0,68.33
September,40.32,14.66,9.66,19.66,1.59,58.39,49.39,67.38
October,38.53,14.45,9.39,19.51,1.52,58.01,48.91,67.12
November,31.84,13.55,8.66,18.43,1.25,56.39,47.59,65.18
December,38.08,12.43,7.42,17.44,1.5,54.37,45.36,63.39
