Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,149.94,21.69,17.82,25.56,5.9,71.04,64.08,78.0
February,132.62,21.69,17.85,25.53,5.22,71.05,64.14,77.96
March,203.4,22.02,18.34,25.7,8.01,71.63,65.02,78.25
April,145.31,22.9,19.24,26.57,5.72,73.23,66.64,79.82
May,107.49,23.73,19.96,27.5,4.23,74.72,67.93,81.5
June,129.87,24.78,21.13,28.43,5.11,76.6,70.03,83.17
July,149.64,25.36,21.74,28.98,5.89,77.65,71.13,84.17
August,131.85,25.77,22.08,29.46,5.19,78.38,71.74,85.03
September,138.21,25.65,21.79,29.51,5.44,78.18,71.23,85.13
October,166.3,25.11,21.37,28.85,6.55,77.2,70.47,83.93
November,188.98,23.83,20.38,27.28,7.44,74.9,68.69,81.11
December,192.6,22.61,19.17,26.06,7.58,72.7,66.5,78.9
