Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,77.1,17.77,12.94,22.61,3.04,63.99,55.29,72.69
February,73.32,17.6,12.86,22.34,2.89,63.68,55.14,72.22
March,94.68,17.89,13.44,22.33,3.73,64.19,56.2,72.19
April,56.39,18.45,14.09,22.81,2.22,65.2,57.35,73.05
May,43.16,19.17,14.79,23.56,1.7,66.51,58.62,74.4
June,40.88,19.83,15.51,24.16,1.61,67.7,59.92,75.48
July,53.82,20.55,16.19,24.92,2.12,69.0,61.14,76.85
August,60.78,20.87,16.51,25.24,2.39,69.57,61.71,77.43
September,37.38,20.66,16.24,25.09,1.47,69.19,61.23,77.16
October,37.06,20.36,15.88,24.83,1.46,68.64,60.59,76.69
November,71.14,19.47,15.12,23.81,2.8,67.04,59.21,74.87
December,78.85,18.39,13.94,22.85,3.1,65.11,57.09,73.13
