Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,93.65,16.09,12.33,19.84,3.69,60.96,54.2,67.72
February,68.12,15.74,11.99,19.49,2.68,60.33,53.58,67.08
March,93.3,15.86,12.23,19.5,3.67,60.55,54.01,67.09
April,44.62,16.53,12.83,20.23,1.76,61.75,55.09,68.41
May,43.0,17.35,13.63,21.07,1.69,63.23,56.54,69.92
June,21.97,18.26,14.51,22.02,0.86,64.87,58.11,71.64
July,29.75,19.01,15.2,22.81,1.17,66.21,59.36,73.06
August,37.6,19.36,15.54,23.19,1.48,66.85,59.97,73.74
September,49.35,18.96,15.19,22.73,1.94,66.13,59.34,72.92
October,59.55,18.64,14.95,22.32,2.34,65.55,58.92,72.18
November,58.26,17.73,14.24,21.23,2.29,63.92,57.63,70.21
December,94.74,16.69,13.17,20.22,3.73,62.05,55.7,68.4
