Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,54.82,16.0,10.95,21.05,2.16,60.8,51.71,69.9
February,38.88,15.77,10.85,20.7,1.53,60.39,51.53,69.26
March,51.11,16.01,11.44,20.59,2.01,60.83,52.59,69.06
April,47.81,16.56,12.03,21.09,1.88,61.81,53.65,69.97
May,50.81,17.34,12.76,21.93,2.0,63.22,54.96,71.48
June,31.5,18.03,13.49,22.56,1.24,64.45,56.28,72.61
July,33.89,18.81,14.21,23.42,1.33,65.86,57.57,74.15
August,50.13,19.1,14.51,23.69,1.97,66.38,58.12,74.64
September,57.24,18.82,14.22,23.42,2.25,65.88,57.6,74.16
October,54.39,18.55,13.9,23.2,2.14,65.39,57.01,73.76
November,37.43,17.65,13.14,22.17,1.47,63.78,55.65,71.9
December,44.18,16.57,11.94,21.19,1.74,61.82,53.5,70.15
