Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,312.34,19.68,15.08,24.28,12.3,67.42,59.14,75.7
February,346.35,19.57,15.02,24.12,13.64,67.22,59.03,75.41
March,495.35,19.9,15.6,24.2,19.5,67.82,60.08,75.56
April,419.49,20.48,16.3,24.65,16.52,68.86,61.34,76.38
May,295.11,21.14,16.98,25.31,11.62,70.06,62.56,77.55
June,249.81,21.78,17.68,25.87,9.84,71.2,63.83,78.57
July,338.87,22.43,18.33,26.54,13.34,72.38,64.99,79.77
August,387.3,22.78,18.65,26.9,15.25,73.0,65.57,80.42
September,274.07,22.64,18.4,26.88,10.79,72.75,65.13,80.38
October,301.11,22.3,18.02,26.58,11.85,72.14,64.44,79.85
November,475.68,21.42,17.25,25.59,18.73,70.55,63.04,78.06
December,430.27,20.36,16.09,24.63,16.94,68.65,60.96,76.34
