Month,RF_mm,Tmean_c,Tmin_c,Tmax_c,RF_in,Tmean_f,Tmin_f,Tmax_f
January,277.54,15.83,10.76,20.91,10.93,60.5,51.37,69.63
February,302.76,15.6,10.66,20.54,11.92,60.08,51.19,68.98
March,414.74,15.84,11.25,20.42,16.33,60.5,52.25,68.76
April,352.75,16.38,11.83,20.93,13.89,61.49,53.3,69.67
May,213.86,17.17,12.56,21.78,8.42,62.91,54.62,71.2
June,202.42,17.85,13.3,22.41,7.97,64.14,55.94,72.34
July,278.19,18.64,14.02,23.27,10.95,65.56,57.23,73.89
August,318.85,18.93,14.32,23.54,12.55,66.08,57.78,74.38
September,211.71,18.65,14.03,23.27,8.34,65.57,57.26,73.88
October,242.81,18.38,13.71,23.05,9.56,65.08,56.67,73.48
November,427.25,17.48,12.95,22.01,16.82,63.47,55.32,71.62
December,400.6,16.39,11.75,21.03,15.77,61.51,53.16,69.86
