station,variables
286,SWin_1_Avg;SWout_1_Avg;LWin_1_Avg;LWout_1_Avg;SWnet_1_Avg;LWnet_1_Avg;Rnet_1_Avg;Albedo_1_Avg;Tsrf_1_Avg;Tsky_1_Avg;Tair_1_Avg;Tair_2_Avg;RH_1_Avg;RH_2_Avg;VP_1_Avg;VP_2_Avg;VPsat_1_Avg;VPsat_2_Avg;VPD_1_Avg;VPD_2_Avg;WS_1_Avg;WDrs_1_Avg;SM_1_Avg;RF_1_Tot300s
287,SWin_1_Avg;SWout_1_Avg;LWin_1_Avg;LWout_1_Avg;SWnet_1_Avg;LWnet_1_Avg;Rnet_1_Avg;Albedo_1_Avg;Tsrf_1_Avg;Tsky_1_Avg;Tair_1_Avg;Tair_2_Avg;RH_1_Avg;RH_2_Avg;VP_1_Avg;VP_2_Avg;VPsat_1_Avg;VPsat_2_Avg;VPD_1_Avg;VPD_2_Avg;WS_1_Avg;WDrs_1_Avg;SM_1_Avg;SM_2_Avg;RF_1_Tot300s
288,SWin_1_Avg;SWout_1_Avg;LWin_1_Avg;LWout_1_Avg;SWnet_1_Avg;LWnet_1_Avg;Rnet_1_Avg;Albedo_1_Avg;Tsrf_1_Avg;Tsky_1_Avg;Tair_1_Avg;Tair_2_Avg;RH_1_Avg;RH_2_Avg;VP_1_Avg;VP_2_Avg;VPsat_1_Avg;VPsat_2_Avg;VPD_1_Avg;VPD_2_Avg;WS_1_Avg;WDrs_1_Avg;Tsoil_1_Avg;SHFsrf_1_Avg;SM_1_Avg;SM_2_Avg;SM_3_Avg;RF_1_Tot300s
501,SWin_1_Avg;SWout_1_Avg;LWin_1_Avg;LWout_1_Avg;SWnet_1_Avg;LWnet_1_Avg;Rnet_1_Avg;Albedo_1_Avg;Tsrf_1_Avg;Tsky_1_Avg;Tair_1_Avg;Tair_2_Avg;RH_1_Avg;RH_2_Avg;VP_1_Avg;VP_2_Avg;VPsat_1_Avg;VPsat_2_Avg;VPD_1_Avg;VPD_2_Avg;WS_1_Avg;WDrs_1_Avg;P_1;Psl_1;Tsoil_1_Avg;SHFsrf_1_Avg;SM_1_Avg;SM_2_Avg;SM_3_Avg;RF_1_Tot300s
503,Tsoil_1_Avg;SM_1_Avg;RF_1_Tot300s
504,Tsoil_1_Avg;SM_1_Avg;RF_1_Tot300s
505,Tsoil_1_Avg;SM_1_Avg;RF_1_Tot300s
506,SWin_1_Avg;SWout_1_Avg;LWin_1_Avg;LWout_1_Avg;SWnet_1_Avg;LWnet_1_Avg;Rnet_1_Avg;Albedo_1_Avg;Tsrf_1_Avg;Tsky_1_Avg;Tair_1_Avg;Tair_2_Avg;RH_1_Avg;RH_2_Avg;VP_1_Avg;VP_2_Avg;VPsat_1_Avg;VPsat_2_Avg;VPD_1_Avg;VPD_2_Avg;WS_1_Avg;WDrs_1_Avg;P_1;Psl_1;Tsoil_1_Avg;SHFsrf_1_Avg;SM_1_Avg;SM_2_Avg;SM_3_Avg;RF_1_Tot300s
520,
521,SWin_1_Avg;SWout_1_Avg;LWin_1_Avg;LWout_1_Avg;SWnet_1_Avg;LWnet_1_Avg;Rnet_1_Avg;Albedo_1_Avg;Tsrf_1_Avg;Tsky_1_Avg;Tair_1_Avg;Tair_2_Avg;RH_1_Avg;RH_2_Avg;VP_1_Avg;VP_2_Avg;VPsat_1_Avg;VPsat_2_Avg;VPD_1_Avg;VPD_2_Avg;WS_1_Avg;WDrs_1_Avg;P_1;Psl_1;Tsoil_1_Avg;SHFsrf_1_Avg;SM_1_Avg;Tsoil_2;RF_1_Tot300s;RFint_1_Max;FC_1_Tot300s
1311,SWin_1_Avg;Tair_1_Avg;RH_1_Avg;VP_1_Avg;VPsat_1_Avg;VPD_1_Avg;WS_1_Avg;WDrs_1_Avg;SM_1_Avg;RF_1_Tot300s
1312,SWin_1_Avg;Tair_1_Avg;RH_1_Avg;VP_1_Avg;VPsat_1_Avg;VPD_1_Avg;WS_1_Avg;WDrs_1_Avg;SM_1_Avg;RF_1_Tot300s
1313,SWin_1_Avg;Tair_1_Avg;RH_1_Avg;VP_1_Avg;VPsat_1_Avg;VPD_1_Avg;WS_1_Avg;WDrs_1_Avg;SM_1_Avg;RF_1_Tot300s
1316,SWin_1_Avg;Tair_1_Avg;RH_1_Avg;VP_1_Avg;VPsat_1_Avg;VPD_1_Avg;WS_1_Avg;WDrs_1_Avg;SM_1_Avg;RF_1_Tot300s
1319,SWin_1_Avg;Tair_1_Avg;RH_1_Avg;VP_1_Avg;VPsat_1_Avg;VPD_1_Avg;WS_1_Avg;WDrs_1_Avg;SM_1_Avg;RF_1_Tot300s
1411,Wlvl_1_Avg;Twt_1_Avg;RF_1_Tot300s
1417,Wlvl_1_Avg;Twt_1_Avg;RF_1_Tot300s
1419,Wlvl_1_Avg;Twt_1_Avg;RF_1_Tot300s
